Date,Description,Amount
"Mar 30, 2025 ","TANYA'S NF KINGSTON 75, KINGSTON ",14.25
"Mar 30, 2025 ","POPARIDE, VANCOUVER ",18.41
"Mar 29, 2025 ","JOHN'S VARIETY, BELLEVILLE ",11.23
"Mar 29, 2025 ","FLIXBUS INC, Dallas ",17.98
"Mar 28, 2025 ","LCBO/RAO #0402, BELLEVILLE ",9.45
"Mar 28, 2025 ","COFFEE AND COMPANY, KINGSTON ",11.5
"Mar 28, 2025 ","LCBO/RAO #0057, BELLEVILLE ",20.2
"Mar 27, 2025 ","REXALL PHARMACY #1529, KINGSTON ",4.99
"Mar 27, 2025 ","LOBLAWS #1040, KINGSTON ",14.04
"Mar 27, 2025 ","DOLLARAMA #1291, KINGSTON ",9.61
"Mar 26, 2025 ","LOBLAWS #1040, KINGSTON ",4.51
"Mar 22, 2025 ","QUEEN'S - TRANSCRIPTS, 613-533-6000 ",18
"Mar 20, 2025 ","LOBLAWS #1040, KINGSTON ",6.51
"Mar 19, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",68.45
"Mar 17, 2025 ","TRUPANION, VANCOUVER ",67.54
"Mar 16, 2025 ","ZAEEM FLOWERS, THORNHILL ",253.3
"Mar 16, 2025 ","LinkedInPre *31335906, Mountain View ",26.89
"Mar 15, 2025 ","DOLLARAMA #1291, KINGSTON ",7.35
"Mar 15, 2025 ","LCBO/RAO #0167, KINGSTON ",39.75
"Mar 15, 2025 ","REXALL PHARMACY #1529, KINGSTON ",3.37
"Mar 15, 2025 ","LOBLAWS #1040, KINGSTON ",20.93
"Mar 14, 2025 ","VIRGIN PLUS, VERDUN ",56.5
"Mar 14, 2025 ","FOOD BASICS 640, KINGSTON ",44
"Mar 14, 2025 ","FOOD BASICS 640, KINGSTON ",1.23
"Mar 14, 2025 ","Spotify P34EEE3601, Stockholm ",7.22
"Mar 11, 2025 ","YELLOW DELI, KINGSTON ",24
"Mar 11, 2025 ","FLIXBUS INC, Dallas ",17.98
"Mar 11, 2025 ","APPLE.COM/BILL, 866-712-7753 ",4.51
"Mar 9, 2025 ","MOBILE SERVICE, VERDUN ",22.6
"Mar 8, 2025 ","FOOD BASICS 640, KINGSTON ",38.34
"Mar 8, 2025 ","BREAKAWAY SHANNONVILLE, SHANNONVILLE ",51.68
"Mar 6, 2025 ","OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA ",33.69
"Mar 5, 2025 ","PARAGON TESTING ENTERP, 778-327-6854 ",327.7
"Mar 4, 2025 ","Netflix.com, 866-716-0414 ",9.03
"Mar 4, 2025 ","FLIXBUS INC, Dallas ",16.98
"Mar 3, 2025 ","FOOD BASICS 949, KINGSTON ",15.37
"Mar 2, 2025 ","JOHN'S VARIETY, BELLEVILLE ",4.61
"Mar 1, 2025 ","PIPER ARMS PUB, BELLEVILLE ",83.56
"Mar 1, 2025 ","DOLLARAMA #1004, BELLEVILLE ",2.26
"Feb 28, 2025 ","COINAMATIC, KINGSTON ",25.25
"Feb 27, 2025 ","THE CAMPUS BOOKSTORE, KINGSTON ",5.59
"Feb 27, 2025 ","LOBLAWS #1040, KINGSTON ",28.4
"Feb 27, 2025 ","CITY OF KINGSTON PARK, KINGSTON ",2
"Feb 27, 2025 ","PODONAMU KOREAN CUISIN, KINGSTON ",64.15
"Feb 25, 2025 ","FOOD BASICS 949, KINGSTON ",0.57
"Feb 25, 2025 ","FOOD BASICS 949, KINGSTON ",57.49
"Feb 23, 2025 ","UBER CANADA/UBERTRIP, TORONTO ",9.01
"Feb 21, 2025 ","EATON RUBY THAI, TORONTO ",10.72
"Feb 21, 2025 ","ELEPHANT & CASTLE KING, TORONTO ",19.67
"Feb 20, 2025 ","DENNY'S 03-097 NAPPANE, NAPANEE ",20.23
"Feb 20, 2025 ","PRESTO DUNDAS STN, TORONTO ",10.05
"Feb 20, 2025 ","HOLIDAY INN TORONTO DO, TORONTO ",3.34
"Feb 20, 2025 ","BREAKAWAY SHANNONVILLE, SHANNONVILLE ",50.5
"Feb 19, 2025 ","DOLLARAMA #1291, KINGSTON ",11.2
"Feb 19, 2025 ","LOBLAWS #1040, KINGSTON ",4.52
"Feb 17, 2025 ","TRUPANION, VANCOUVER ",67.54
"Feb 15, 2025 ","LCBO/RAO #0167, KINGSTON ",46.2
"Feb 15, 2025 ","DOLLARAMA #1291, KINGSTON ",1.13
